signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
8345,8346,8350,1,5179.978,5184.235,4.256999999999607
8353,8354,8358,-1,5176.095,5179.455,-3.3599999999996726
8371,8372,8376,-1,5173.875,5171.565,2.3100000000004
8380,8381,8385,-1,5171.525,5173.085,-1.5600000000004002
8630,8631,8635,-1,5158.018,5155.435,2.582999999999629
8637,8638,8642,-1,5150.765,5154.275,-3.509999999999309
8649,8650,8654,-1,5131.245,5129.805,1.4399999999995998
9059,9060,9064,-1,5155.635,5153.615,2.0200000000004366
9066,9067,9071,1,5157.015,5152.915,-4.100000000000364
9077,9078,9082,-1,5130.965,5086.855,44.11000000000058
9083,9084,9088,1,5104.325,5120.935,16.610000000000582
9150,9151,9155,-1,5106.835,5116.205,-9.36999999999989
9672,9673,9677,-1,5080.525,5090.955,-10.430000000000291
9701,9702,9706,1,5083.405,5079.995,-3.4099999999998545
9768,9769,9773,1,5136.835,5141.245,4.4099999999998545
10006,10007,10011,-1,5115.745,5118.095,-2.350000000000364
10149,10150,10154,-1,5111.485,5114.805,-3.3200000000006185
10165,10166,10170,-1,5100.278,5103.255,-2.9769999999998618
10217,10218,10222,-1,5097.885,5097.005,0.8800000000001091
10233,10234,10238,-1,5090.485,5095.395,-4.910000000000764
10283,10284,10288,1,5089.165,5086.125,-3.0399999999999636
10370,10371,10375,-1,5080.415,5075.345,5.069999999999709
10411,10412,10416,1,5090.855,5095.475,4.6200000000008
10434,10435,10439,-1,5081.095,5078.505,2.5900000000001455
10467,10468,10472,1,5118.335,5129.425,11.090000000000146
10558,10559,10563,1,5143.125,5156.598,13.472999999999956
10978,10979,10983,-1,5181.998,5149.135,32.862999999999374
10986,10987,10991,1,5155.798,5158.098,2.300000000000182
10992,10993,10997,-1,5141.748,5140.895,0.852999999999156
11007,11008,11012,1,5162.825,5143.765,-19.05999999999949
11157,11158,11162,-1,5018.705,5049.325,-30.61999999999989
11247,11248,11252,1,5086.605,5081.905,-4.699999999999818
11418,11419,11423,1,5094.805,5096.065,1.2599999999993088
11428,11429,11433,1,5101.645,5108.485,6.839999999999236
11441,11442,11446,1,5120.555,5136.405,15.849999999999454
11676,11677,11681,-1,5118.015,5102.445,15.570000000000618
11907,11908,11912,1,5103.715,5108.385,4.670000000000073
11914,11915,11919,-1,5101.715,5075.655,26.0600000000004
11927,11928,11932,-1,5076.285,5074.145,2.139999999999418
12149,12150,12154,-1,5089.175,5094.125,-4.949999999999818
12157,12158,12162,-1,5089.285,5093.905,-4.619999999999891
12418,12419,12423,-1,5147.235,5138.998,8.23700000000008
12541,12542,12546,1,5144.975,5143.565,-1.410000000000764
12557,12558,12562,1,5157.895,5163.885,5.989999999999782
12807,12808,12812,1,5174.125,5167.435,-6.6899999999996
12914,12915,12919,-1,5170.878,5161.715,9.162999999999556
13114,13115,13119,-1,5158.985,5166.355,-7.369999999999891
