tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,-1,2026-08-13 19:15:00+00:00,1.5810714285715741,False,2026-08-13 19:15:00+00:00,1,1.0,4346.625,4348.265,-1.6400000000003274
M1,IMBALANCE,-1,2026-08-14 00:27:00+00:00,2.4328571428571064,False,2026-08-14 00:27:00+00:00,1,1.0,4341.585,4340.505,1.0799999999999272
M1,IMBALANCE,-1,2026-08-14 00:39:00+00:00,3.277142857142865,False,2026-08-14 00:39:00+00:00,1,1.0,4335.795,4338.085,-2.2899999999999636
M1,IMBALANCE,-1,2026-08-14 01:02:00+00:00,3.8235714285713454,False,2026-08-14 01:02:00+00:00,1,1.0,4333.405,4333.395,0.009999999999308784
M1,IMBALANCE,-1,2026-08-14 01:11:00+00:00,3.462499999999896,False,2026-08-14 01:11:00+00:00,1,1.0,4323.855,4325.675,-1.8200000000006185
M1,IMBALANCE,-1,2026-08-14 01:25:00+00:00,3.391785714285756,False,2026-08-14 01:25:00+00:00,1,1.0,4316.225,4319.945,-3.719999999999345
M1,IMBALANCE,-1,2026-08-14 05:08:00+00:00,1.4682142857141116,False,2026-08-14 05:08:00+00:00,1,1.0,4321.565,4322.285,-0.7200000000002547
M1,IMBALANCE,-1,2026-08-14 05:31:00+00:00,1.6199999999998909,False,2026-08-14 05:31:00+00:00,1,1.0,4311.915,4318.735,-6.819999999999709
M1,IMBALANCE,1,2026-08-14 11:35:00+00:00,1.7142857142859742,False,2026-08-14 11:35:00+00:00,1,1.0,4361.905,4361.585,-0.31999999999970896
M1,IMBALANCE,1,2026-08-14 12:01:00+00:00,1.6964285714286365,False,2026-08-14 12:01:00+00:00,1,1.0,4372.075,4374.355,2.2799999999997453
M1,IMBALANCE,1,2026-08-14 12:03:00+00:00,1.838571428571413,False,2026-08-14 12:03:00+00:00,1,1.0,4373.915,4373.215,-0.6999999999998181
M1,IMBALANCE,1,2026-08-14 12:15:00+00:00,2.1996428571429925,False,2026-08-14 12:15:00+00:00,2,2.0,4372.085,4372.265,0.3600000000005821
